epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1151.53,1.84101,1.00332,1.36793,0.82985,0.80108,0.83655,0.39768,1.81837,0.96332,1.44121,0.00026422,0.00026422,0.00026422
70,1168.5,1.8378,0.99475,1.34769,0.82549,0.80083,0.83882,0.39978,1.82924,0.95473,1.43946,0.00024359,0.00024359,0.00024359
71,1218.84,1.79774,0.94782,1.4121,0.82305,0.79211,0.8345,0.39371,1.81798,0.95014,1.44424,0.000222961,0.000222961,0.000222961
72,1235.47,1.77513,0.9452,1.40009,0.81531,0.80401,0.82999,0.39221,1.81064,0.94863,1.43319,0.000202332,0.000202332,0.000202332
73,1252.64,1.78173,0.93186,1.37665,0.81886,0.77803,0.82441,0.3965,1.81598,0.95957,1.44094,0.000181703,0.000181703,0.000181703
74,1269.4,1.76968,0.92239,1.39778,0.84139,0.80257,0.84321,0.40378,1.81149,0.93778,1.44138,0.000161074,0.000161074,0.000161074
75,1285.87,1.76682,0.91957,1.371,0.8392,0.80316,0.84141,0.40072,1.82176,0.92727,1.44545,0.000140445,0.000140445,0.000140445
76,1302.35,1.78821,0.93627,1.40485,0.81885,0.80581,0.83798,0.40127,1.81784,0.92818,1.43997,0.000119816,0.000119816,0.000119816
77,1318.95,1.7308,0.8995,1.38014,0.80815,0.79416,0.82579,0.40219,1.81582,0.95319,1.44298,9.91865e-05,9.91865e-05,9.91865e-05
78,1335.12,1.76043,0.91302,1.38032,0.81698,0.80318,0.84205,0.4,1.81778,0.93462,1.44201,7.85574e-05,7.85574e-05,7.85574e-05
79,1351.18,1.76655,0.91735,1.40023,0.8169,0.80799,0.84059,0.4031,1.80345,0.93313,1.43793,5.79283e-05,5.79283e-05,5.79283e-05
80,1367.35,1.75224,0.9032,1.37347,0.80749,0.80949,0.83747,0.40249,1.80386,0.93582,1.43839,3.72991e-05,3.72991e-05,3.72991e-05
